Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,141.0,211.0,13.6,40.625,54.225,49.9,3.6333333333333333,1.9,0.3,2.325,7.925,,,,,11.95,78.9,0.375,311.6,0.0,0.0,5.025,997.825,
2023-01-01 01:00:00,149.0,210.0,7.975,35.85,43.825,53.975,3.775,1.8,1.7,2.05,6.725,,,,,11.85,79.1,0.325,315.275,0.0,0.0,5.025,997.475,
2023-01-01 02:00:00,141.0,186.0,3.3,31.8,35.1,50.2,3.775,1.9666666666666668,1.35,1.975,6.6,,,,,11.3,80.25,0.3,307.725,0.0,0.0,5.05,997.025,
2023-01-01 03:00:00,138.0,174.0,2.7,31.15,33.825,54.775,3.575,1.9,2.6,1.775,6.225,,,,,10.3,83.325,0.325,301.875,0.0,0.0,5.0,996.5,
2023-01-01 04:00:00,122.0,161.0,10.95,34.25,45.2,58.1,3.3249999999999997,1.9249999999999998,1.475,1.95,6.525,,,,,10.05,84.075,0.3,279.25,0.0,0.0,4.9,996.375,
2023-01-01 05:00:00,125.0,161.0,29.825,34.675,64.45,53.525,3.45,2.0,0.625,2.25,10.075,,,,,9.875,84.875,0.3,266.5,0.0,0.0,4.925000000000001,996.725,
2023-01-01 06:00:00,145.0,216.0,47.6,28.45,76.125,53.75,3.466666666666667,2.0,0.9,2.375,10.15,,,,,9.775,85.275,0.325,249.79999999999998,0.0,0.0,4.925000000000001,997.225,
2023-01-01 07:00:00,138.0,195.0,50.825,35.225,85.975,51.5,3.625,1.8,0.775,2.475,9.15,,,,,9.95,84.42500000000001,0.3,265.3,0.0,0.0,15.524999999999999,998.0,
2023-01-01 08:00:00,135.0,199.0,47.15,41.475,88.6,44.9,3.8,1.825,0.8,2.4,7.35,,,,,11.425,81.575,0.35,284.55,0.0,0.0,71.975,998.475,
2023-01-01 09:00:00,146.0,186.0,11.125,33.85,44.925,46.9,3.825,1.825,2.25,2.475,6.475,,,,,14.925,70.325,0.35,316.2,0.0,0.0,177.0,999.375,
2023-01-01 10:00:00,151.0,213.0,6.8500000000000005,31.925,38.775,47.3,5.975,1.75,4.475,2.125,7.65,,,,,17.675,62.65,0.35,315.3,0.0,0.0,254.5,999.925,
2023-01-01 11:00:00,147.0,226.0,5.075,32.075,37.125,55.025,5.95,1.7,8.975000000000001,1.775,6.075,,,,,19.375,56.35,0.35,227.875,0.0,0.0,286.5,999.8,
2023-01-01 12:00:00,141.0,218.0,3.475,30.15,33.725,61.800000000000004,6.166666666666667,1.65,16.95,1.85,6.4,,,,,20.275,52.575,0.35,280.2,0.0,0.0,299.05,998.875,
2023-01-01 13:00:00,135.0,215.0,2.25,25.9,28.1,63.85,6.85,1.55,23.775,1.575,5.55,,,,,21.225,49.525,0.3,257.6,0.0,0.0,296.45,997.925,
2023-01-01 14:00:00,116.0,193.0,2.0,26.35,28.375,68.5,7.675000000000001,1.5,27.0,1.6,5.25,,,,,21.45,48.2,0.3,321.05,0.0,0.0,218.075,997.2,
2023-01-01 15:00:00,112.0,199.0,1.975,25.6,27.725,69.7,8.825,1.475,24.375,1.4249999999999998,5.675000000000001,,,,,20.6,50.375,0.375,250.15,0.0,0.0,141.975,997.225,
2023-01-01 16:00:00,100.0,195.0,1.075,24.65,25.7,67.725,7.375,1.4,21.125,1.35,7.925,,,,,19.625,53.025,0.3,258.5,0.0,0.0,70.775,997.1500000000001,
2023-01-01 17:00:00,96.0,185.0,1.3,35.9,37.15,64.8,6.1,1.4249999999999998,11.125,1.75,6.575,,,,,17.35,57.425,0.325,184.225,0.0,0.0,13.475000000000001,997.125,
2023-01-01 18:00:00,101.0,194.0,10.45,51.0,57.599999999999994,58.35,4.5,1.5,4.15,1.65,7.075,,,,,14.7,65.675,0.3,37.25,0.0,0.0,4.95,997.55,
